LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE SECTION,PALEOMAG SECTION,MINIMUM.AGE,MAXIMUM.AGE
CH003,7,1.157142857142857,1.2857142857142858,0,0.014285714285714287,0.028571428571428574,1,1.7714285714285716,0.7,0.5142857142857142,0.42857142857142855,13.65,NA,NA,Chinji,IR-2,IR-2,13.546,13.753
D0013,9,1.6888888888888889,1.2222222222222223,0.1111111111111111,0.1111111111111111,0.12222222222222222,1.2333333333333334,0.8777777777777778,0.43333333333333335,0.7777777777777778,0.1111111111111111,6.517,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar),6.459,6.575
KL001,9,1.3444444444444443,1.2222222222222223,0.3333333333333333,0.011111111111111112,0.12222222222222222,1.011111111111111,0.7666666666666666,0.4222222222222222,0.4,0.2222222222222222,9.265,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.243,9.286
KL003,6,1.3666666666666667,1,0.3333333333333333,0,0.18333333333333335,1.1833333333333333,0.31666666666666665,0.48333333333333334,0.5,0.16666666666666666,9.37,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.324,9.416
KL004,5,1.58,1,0.2,0.02,0.2,1.2,0.4,0.58,0.32,0.4,9.765,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.725,9.804
KL008,6,1.8833333333333333,1.0166666666666666,0.13333333333333333,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.7333333333333334,0.5333333333333333,0.6166666666666667,0.16666666666666666,7.762,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.701,7.823
KL009,5,1.6199999999999999,1,0.2,0.02,0.22,1.42,0.38,0.56,0.52,0.2,7.692,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.634,7.75
KL011,14,1.6857142857142857,1.2857142857142858,0.14285714285714285,0.14285714285714285,0.17857142857142858,1.2857142857142858,1.05,0.42857142857142855,0.6428571428571429,0.21428571428571427,7.961,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.82,8.102
KL012,10,1.74,1.2,0.2,0.1,0.23,1.11,1.03,0.39,0.5,0.3,8.544,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.465,8.623
KL016,5,1.66,1.4,0,0.02,0.26,1.42,1.6600000000000001,0.56,0.72,0.2,8.805,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.734,8.876
KL020,6,2.033333333333333,1,0.16666666666666666,0,0.35,1.5166666666666666,0.31666666666666665,0.48333333333333334,0.6666666666666666,0.16666666666666666,9.837,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.769,9.905
KL021,6,1.7333333333333334,1.3333333333333333,0.16666666666666666,0,0.3666666666666667,1.3333333333333333,1.0666666666666667,0.3333333333333333,0.6166666666666667,0.16666666666666666,8.118,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.077,8.159
L0012,6,2.033333333333333,1,0,0.3333333333333333,0.18333333333333335,1.85,0.31666666666666665,0.48333333333333334,0.6666666666666666,0.3333333333333333,7.96,NA,NA,Dhok Pathan,Dhok Pathan,Dhok Pathan,7.843,8.077
L0021,5,1,1,0.2,0,0,1,0.8,0.8,0.2,0.6,11.404,N 32 41.880,E 72 19.943,Chinji,Hutch Nala,Hutch Nala,11.38,11.428
L0022,5,1.4,1.42,0.16,0.02,0.2,0.8,1.28,0.62,0.32,0.4,11.856,N 32 41.533,E 72 19.116,Chinji,Hutch Nala,Hutch Nala,11.79,11.921
L0072,9,1.6666666666666667,1.2222222222222223,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.2222222222222223,1,0.3333333333333333,0.6666666666666666,0.2222222222222222,7.326,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.208,7.444
L0075,5,1.4,1,0.4,0.2,0,1.2,0,0.4,0.2,0.4,8.01,NA,NA,Dhok Pathan,Dhok Saira,Dhok Saira,7.645,8.374
L0082,10,1.52,1.4,0.2,0.2,0.12,0.9,1.24,0.3,0.5,0.3,7.365,N 32 48.766,E 73 19.807,Dhok Pathan,Hasnot-SW,Dhok Saira,7.316,7.414
